ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
92702,06059,SANTA ANA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92703,06059,SANTA ANA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92704,06059,SANTA ANA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92705,06059,SANTA ANA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92706,06059,SANTA ANA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92707,06059,SANTA ANA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92708,06059,FOUNTAIN VALLEY,CA,1.000000000,1.000000000,1.000000000,1.000000000
92711,06059,SANTA ANA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92728,06059,FOUNTAIN VALLEY,CA,1.000000000,1.000000000,1.000000000,1.000000000
92735,06059,SANTA ANA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92780,06059,TUSTIN,CA,1.000000000,1.000000000,1.000000000,1.000000000
92781,06059,TUSTIN,CA,1.000000000,1.000000000,1.000000000,1.000000000
92782,06059,TUSTIN,CA,1.000000000,1.000000000,1.000000000,1.000000000
92799,06059,SANTA ANA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92801,06059,ANAHEIM,CA,1.000000000,1.000000000,1.000000000,1.000000000
92802,06059,ANAHEIM,CA,1.000000000,1.000000000,1.000000000,1.000000000
92803,06059,ANAHEIM,CA,1.000000000,1.000000000,1.000000000,1.000000000
92804,06059,ANAHEIM,CA,1.000000000,1.000000000,1.000000000,1.000000000
92805,06059,ANAHEIM,CA,1.000000000,1.000000000,1.000000000,1.000000000
92806,06059,ANAHEIM,CA,1.000000000,1.000000000,1.000000000,1.000000000
92807,06059,ANAHEIM,CA,1.000000000,1.000000000,1.000000000,1.000000000
92808,06059,ANAHEIM,CA,1.000000000,1.000000000,1.000000000,1.000000000
92809,06059,ANAHEIM,CA,1.000000000,1.000000000,1.000000000,1.000000000
92811,06059,ATWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
92812,06059,ANAHEIM,CA,1.000000000,1.000000000,1.000000000,1.000000000
92814,06059,ANAHEIM,CA,1.000000000,1.000000000,1.000000000,1.000000000
92815,06059,ANAHEIM,CA,1.000000000,1.000000000,1.000000000,1.000000000
92816,06059,ANAHEIM,CA,1.000000000,1.000000000,1.000000000,1.000000000
92817,06059,ANAHEIM,CA,1.000000000,1.000000000,1.000000000,1.000000000
92821,06059,BREA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92822,06059,BREA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92823,06059,BREA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92825,06059,ANAHEIM,CA,1.000000000,0.000000000,1.000000000,1.000000000
92831,06059,FULLERTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
92832,06059,FULLERTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
92833,06059,FULLERTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
92834,06059,FULLERTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
92835,06059,FULLERTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
92836,06059,FULLERTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
92837,06059,FULLERTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
92838,06059,FULLERTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
92840,06059,GARDEN GROVE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92841,06059,GARDEN GROVE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92842,06059,GARDEN GROVE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92843,06059,GARDEN GROVE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92844,06059,GARDEN GROVE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92845,06059,GARDEN GROVE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92846,06059,GARDEN GROVE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92856,06059,ORANGE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92857,06059,ORANGE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92859,06059,ORANGE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92860,06065,NORCO,CA,1.000000000,1.000000000,1.000000000,1.000000000
92861,06059,VILLA PARK,CA,1.000000000,1.000000000,1.000000000,1.000000000
92862,06059,ORANGE,CA,0.000000000,0.000000000,1.000000000,1.000000000
92863,06059,ORANGE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92864,06059,ORANGE,CA,0.000000000,0.000000000,1.000000000,1.000000000
92865,06059,ORANGE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92866,06059,ORANGE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92867,06059,ORANGE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92868,06059,ORANGE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92869,06059,ORANGE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92870,06059,PLACENTIA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92871,06059,PLACENTIA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92877,06065,CORONA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92878,06065,CORONA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92879,06065,CORONA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92880,06065,EASTVALE,CA,0.997382199,0.969957082,0.974683544,0.996857363
92880,06071,EASTVALE,CA,0.002617801,0.030042918,0.025316456,0.003142637
92881,06065,CORONA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92882,06065,CORONA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92883,06065,CORONA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92885,06059,YORBA LINDA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92886,06059,YORBA LINDA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92887,06059,YORBA LINDA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92899,06059,ANAHEIM,CA,0.000000000,0.000000000,1.000000000,1.000000000
